56818,80537,168338,179515,14364,38371
70642,76455,38477,23461,96929,20581
31202,255067,23231,54514,69208,112496
66872,93922,24922,17278,41092,456414
64638,254986,105713,65692,76718,36252
78085,63663,296415,43393,86083,17022
57810,158150,48619,69575,16137,130167
49209,26139,101421,112558,36304,42670
138427,62003,187492,53269,86559,220308
61529,28880,51145,47601,49360,49560
59393,279441,119864,44778,78216,42176
135540,68118,65473,83604,50650,125303
153087,13788,78993,51639,23684,76031
42139,57360,519928,129836,50919,44225
56768,280240,80792,44586,79864,44732
176117,135223,138812,176253,46015,73032
76114,311547,13552,121809,-,-
